id,tier,title,source_reference,verification_status,description
1,1,The Book Of Enoch Describes What Happens The Moment You Die — And Where You Are Taken First,,Verified,
2,1,The Book Of Enoch Describes What God Looks Like — And Why No Angel Is Allowed To See Him,,Verified,
3,1,The Book Of Enoch Describes What Demons Actually Are — And Why They Are Always Hungry,,Verified,
4,1,The Book Of Enoch Describes Who Really Runs The World — And What Is Waiting For Them,,Verified,
5,1,The Book Of Enoch Says Your Life Was Written Down Before You Lived It — And Names Who Holds The Book,,Verified,
6,1,The Book Of Enoch Describes Noah's Birth — And Why His Own Father Thought He Was Not Human,,Verified,
7,1,The Book Of Enoch Says Abel Is Still Screaming — And Names The Only Thing That Will Stop Him,,Verified,
8,1,The Book Of Enoch Describes The Giants — And What They Did When The Food Ran Out,,Verified,
9,1,The Book Of Enoch Describes The Punishment Of The Fallen Angels — And They Were Made To Watch,,Verified,
10,1,The Book Of Enoch Describes How Enoch Was Taken Up — And What He Saw Inside,,Verified,
11,2,The Book Of Enoch Describes What Happens To People Who Got Away With It,,Needs chapter check,
12,2,The Book Of Enoch Names Every Angel Who Taught Humanity — And Why The Teaching Was The Crime,,Verified,
13,2,The Book Of Enoch Describes Azazel's Sentence — And Why His Face Had To Be Covered,,Verified,
14,2,The Book Of Enoch Describes The Oath 200 Angels Swore — And Why Their Leader Was Afraid,,Verified,
15,2,The Book Of Enoch Says A Man Asked God To Forgive The Fallen Angels — And Records The Answer,,Verified,
16,2,There Is A Second Book Of Enoch — And No Church On Earth Accepted It,,Verified,
17,2,The Second Book Of Enoch Says There Is A Prison Inside Heaven — And Names Who Is Locked In It,,Verified,
18,2,The Book Of Enoch Says Seven Stars Were Arrested — And Describes The Prison They Are Bound In,,Verified,
19,2,The Book Of Enoch Names All Seven Archangels — And The One Job Each Was Given,,Verified,
20,2,The Book Of Enoch Describes How To Actually Get In — And It Is Not What You Were Taught,,Needs chapter check,
21,3,The Second Book Of Enoch Says Paradise And Torment Share A Floor,,Verified,Both in the third heaven. Same layer.
22,3,The Book Of Enoch Says Seventy Shepherds Were Put In Charge Of Humanity — And They Killed More Than They Were Told To,,Needs chapter check,And an angel wrote down every death in a book.
23,3,The Book Of Enoch Says A Living Man Was Called The Son Of Man — And It Was Not Jesus,,Needs chapter check,"Highest ceiling, most hostile comments. Deploy with standing."
24,3,There Is A Third Book Of Enoch — And In It Enoch Stops Being Human,,Needs verification,Enoch is transformed into the angel Metatron. Reportedly
25,3,The Book Of Enoch Describes The Oath That Holds Creation Together — And What Happens If It Is Spoken,,Needs chapter check,"The hidden name. Sea, earth and stars each held by it."
26,3,The Book Of Enoch Describes What Happens To The Sky When People Sin — And It Starts With The Moon,,Needs chapter check,"Years shortened, the moon alters her order, stars change"
27,3,The Book Of Enoch Describes All Of Human History As Animals — And Names Which One You Are,,Needs chapter check,Stars fall and become bulls; bulls mate with cows and
28,3,The Book Of Enoch Divides All Of History Into Ten Weeks — And Says Which One We Are In,,Needs chapter check,"A finite, numbered schedule."
29,3,The Book Of Enoch Says The Year Is 364 Days — And Describes What Breaks When You Use 365,,Needs chapter check,"A calendar that cannot drift, replaced by one that does."
30,3,The Book Of Enoch Describes Two Monsters Separated At Creation — And Why They Cannot Meet,,Needs chapter check,"Leviathan and Behemoth, divided — one to the abyss, one"
31,4,One Man Held The Book Of Enoch For 29 Years — And Would Not Let Anyone Read It,,Verified,Milik and the Aramaic Enoch fragments. Broken
32,4,Everyone Quotes The Book Of Enoch — And Almost Nobody Notices It Is In The Bible,,Verified,"Jude quotes 1 Enoch 1:9 directly, by name, as prophecy. It is in"
33,4,"The Book Of Enoch Survived In One Country — And Nobody In Europe Could Read It For 1,000 Years",,Verified,Ethiopia kept it whole while the West lost it entirely.
34,4,The Angel Who Holds The Record Of Every Human Life Has Four Different Names,,Verified,Vretil / Vrevoil / Vereveil / Pravuil. The scribe of all deeds
35,4,The Book Of Enoch Describes Twelve Gates The Wind Comes Through — And What Each One Brings,,Needs chapter check,"Named portals, assigned effects."
36,4,The Book Of Enoch Describes Seven Mountains Of Precious Stone — And The Tree Nobody May Touch,,Needs chapter check,"A throne-shaped mountain, a fragrant tree reserved"
37,4,The Book Of Enoch Says The Earth Will Give Back What Was Entrusted To It,,Needs chapter check,Sheol and destruction also required to return what they
38,4,The Book Of Enoch Describes A Valley Where The Cursed Are Gathered — And Who Watches,,Needs chapter check,"The accursed valley, and the righteous as spectators."
39,4,The Book Of Enoch Says The Son Of Man Was Named Before The Sun Existed,,Needs chapter check,"Named before the stars were made, and hidden until needed."
40,4,The Book Of Enoch Was Written By Someone Who Was Not Enoch — And That Makes It Stranger,dies the day someone checks. These do not.,Needs research,"The honest episode. Composite, centuries apart, and"
